Date,U.S. Exports of Crude Oil (Thousand Barrels),U.S. Imports of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels per Day),U.S. Imports from Saudi Arabia of Crude Oil (Thousand Barrels),U.S. Crude Oil Rotary Rigs in Operation (Count),**U.S. Ending Stocks of Crude Oil (Thousand Barrels),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",U.S. Crude Oil Stocks at Refineries (Thousand Barrels),U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),U.S. Product Supplied of Crude Oil (Thousand Barrels)
,,,,,,,,,,,
Jan-1920,469,6294,34008,1097,,,,,,,
,,,,,,,,,,,
Feb-1920,853,4940,33193,1145,,,,,,,
,,,,,,,,,,,
Mar-1920,892,6503,36171,1167,,,,,,,
,,,,,,,,,,,
Apr-1920,693,6186,34945,1165,,,,,,,
,,,,,,,,,,,
May-1920,761,6966,36622,1181,,,,,,,
,,,,,,,,,,,
Jun-1920,627,8120,36663,1222,,,,,,,
,,,,,,,,,,,
Jul-1920,723,6768,37746,1218,,,,,,,
,,,,,,,,,,,
Aug-1920,553,10791,38906,1255,,,,,,,
,,,,,,,,,,,
Sep-1920,790,11650,37521,1251,,,,,,,
,,,,,,,,,,,
Oct-1920,777,11361,39584,1277,,,,,,,
,,,,,,,,,,,
Nov-1920,796,13750,38609,1287,,,,,,,
,,,,,,,,,,,
Dec-1920,823,12846,38961,1257,,,,,,,
,,,,,,,,,,,
Jan-1921,743,13258,38138,1230,,,,,,,
,,,,,,,,,,,
Feb-1921,794,11384,35524,1269,,,,,,,
,,,,,,,,,,,
Mar-1921,750,12303,41105,1326,,,,,,,
,,,,,,,,,,,
Apr-1921,748,10104,40233,1341,,,,,,,
,,,,,,,,,,,
May-1921,874,9148,42189,1361,,,,,,,
,,,,,,,,,,,
Jun-1921,586,10255,40548,1352,,,,,,,
,,,,,,,,,,,
Jul-1921,538,8047,40461,1305,,,,,,,
,,,,,,,,,,,
Aug-1921,885,3352,41109,1326,,,,,,,
,,,,,,,,,,,
Sep-1921,881,9139,36763,1225,,,,,,,
,,,,,,,,,,,
Oct-1921,747,11635,35832,1156,,,,,,,
,,,,,,,,,,,
Nov-1921,869,12986,38108,1270,,,,,,,
,,,,,,,,,,,
Dec-1921,525,13753,42173,1360,,,,,,,
,,,,,,,,,,,
Jan-1922,727,13107,43696,1410,,,,,,,
,,,,,,,,,,,
Feb-1922,583,12077,41314,1476,,,,,,,
,,,,,,,,,,,
Mar-1922,806,14004,47188,1522,,,,,,,
,,,,,,,,,,,
Apr-1922,924,11659,45167,1506,,,,,,,
,,,,,,,,,,,
May-1922,771,14018,47002,1516,,,,,,,
,,,,,,,,,,,
Jun-1922,826,12182,46087,1536,,,,,,,
,,,,,,,,,,,
Jul-1922,893,10493,47134,1520,,,,,,,
,,,,,,,,,,,
Aug-1922,764,10279,47059,1518,,,,,,,
,,,,,,,,,,,
Sep-1922,1127,4812,45805,1527,,,,,,,
,,,,,,,,,,,
Oct-1922,741,10082,48410,1562,,,,,,,
,,,,,,,,,,,
Nov-1922,879,7429,48027,1601,,,,,,,
,,,,,,,,,,,
Dec-1922,1122,7166,50642,1634,,,,,,,
,,,,,,,,,,,
Jan-1923,762,7307,52527,1694,,,,,,,
,,,,,,,,,,,
Feb-1923,666,6199,48588,1735,,,,,,,
,,,,,,,,,,,
Mar-1923,1028,8058,56969,1838,,,,,,,
,,,,,,,,,,,
Apr-1923,1511,6617,59008,1967,,,,,,,
,,,,,,,,,,,
May-1923,1324,5995,62377,2012,,,,,,,
,,,,,,,,,,,
Jun-1923,2598,5996,62845,2095,,,,,,,
,,,,,,,,,,,
Jul-1923,1547,6915,65925,2127,,,,,,,
,,,,,,,,,,,
Aug-1923,1542,7580,66422,2143,,,,,,,
,,,,,,,,,,,
Sep-1923,1592,6021,65306,2177,,,,,,,
,,,,,,,,,,,
Oct-1923,1315,6825,67506,2178,,,,,,,
,,,,,,,,,,,
Nov-1923,1397,6085,65388,2180,,,,,,,
,,,,,,,,,,,
Dec-1923,2103,8417,59546,1921,,,,,,,
,,,,,,,,,,,
Jan-1924,1528,6303,57273,1848,,,,,,,
,,,,,,,,,,,
Feb-1924,1680,6511,55889,1927,,,,,,,
,,,,,,,,,,,
Mar-1924,1550,8631,60141,1940,,,,,,,
,,,,,,,,,,,
Apr-1924,1547,7297,59830,1994,,,,,,,
,,,,,,,,,,,
May-1924,1858,7393,61834,1995,,,,,,,
,,,,,,,,,,,
Jun-1924,1542,6660,59583,1986,,,,,,,
,,,,,,,,,,,
Jul-1924,1409,6502,61932,1998,,,,,,,
,,,,,,,,,,,
Aug-1924,1242,5762,62398,2013,,,,,,,
,,,,,,,,,,,
Sep-1924,1893,5354,60376,2013,,,,,,,
,,,,,,,,,,,
Oct-1924,1488,4872,60469,1951,,,,,,,
,,,,,,,,,,,
Nov-1924,1453,6649,56782,1893,,,,,,,
,,,,,,,,,,,
Dec-1924,1049,5841,57433,1853,,,,,,,
,,,,,,,,,,,
Jan-1925,1149,7025,53802,1736,,,,,,,
,,,,,,,,,,,
Feb-1925,1122,5579,48571,1735,,,,,,,
,,,,,,,,,,,
Mar-1925,1058,6375,53597,1729,,,,,,,
,,,,,,,,,,,
Apr-1925,798,5482,51914,1730,,,,,,,
,,,,,,,,,,,
May-1925,1356,6484,53367,1722,,,,,,,
,,,,,,,,,,,
Jun-1925,1255,5153,51915,1731,,,,,,,
,,,,,,,,,,,
Jul-1925,1302,4155,52138,1682,,,,,,,
,,,,,,,,,,,
Aug-1925,1465,4045,52198,1684,,,,,,,
,,,,,,,,,,,
Sep-1925,923,4027,51559,1719,,,,,,,
,,,,,,,,,,,
Oct-1925,1292,4367,51769,1670,,,,,,,
,,,,,,,,,,,
Nov-1925,740,4891,49921,1664,,,,,,,
,,,,,,,,,,,
Dec-1925,877,4241,49622,1601,,,,,,,
,,,,,,,,,,,
